"id","condition","total_score","age","ease","edu","imphear","interest","L1","notes","prep","self","test"
736575,"nopints",7,30,3,"uni","no",4,"ger","no",3,"adv","c2"
736578,"sil",8,22,1,"hs","no",4,"ger","no",2,"adv","none"
736579,"base",5,38,1,"hs","no",2,"ger","no",1,"adv","none"
736581,"nopints_cg",5,22,4,"uni","no",4,"ger","no",4,"adv","c2"
736584,"base",5,23,2,"hs","no",1,"ger","no",2,"int","b1"
736585,"sil_cg",8,28,2,"hs","no",3,"ger","no",2,"adv","none"
736587,"sil",6,28,2,"uni","no",2,"ger","no",3,"adv","c1"
736580,"base_cg",8,30,1,"hs","no",2,"ger","no",3,"adv","none"
736595,"nopints",3,30,3,"uni","no",4,"ger","no",5,"adv","c2"
736768,"nopints_cg",8,24,2,"uni","no",4,"ger","no",3,"adv","c1"
736769,"base_cg",6,30,2,"hs","no",3,"ger","no",2,"adv","none"
736770,"nopints_cg",6,42,2,"other","no",1,"ger","no",5,"adv","none"
736771,"base",4,23,1,"other","no",1,"ger","no",2,"adv","c2"
736772,"nopints",4,42,3,"uni","no",4,"ger","no",5,"adv","a2"
736773,"base_cg",5,26,1,"hs","no",1,"ger","no",2,"adv","c1"
736774,"sil",3,29,2,"uni","no",3,"ger","no",3,"adv","c2"
736775,"sil_cg",6,26,1,"hs","no",5,"ger","no",4,"int","b1"
736776,"nopints",7,35,2,"hs","no",3,"ger","no",2,"int","b2"
736777,"nopints_cg",4,44,1,"uni","no",1,"ger","no",2,"adv","c2"
736779,"sil",6,36,2,"uni","no",4,"ger","no",1,"adv","c2"
736782,"sil_cg",5,60,2,"hs","no",2,"ger","no",2,"int","b1"
736784,"base_cg",4,27,2,"hs","no",2,"ger","no",1,"int","b2"
736785,"nopints_cg",7,51,2,"other","no",4,"ger","no",4,"int","none"
736778,"sil_cg",5,35,1,"uni","no",1,"ger","no",4,"adv","none"
736780,"base_cg",7,46,2,"uni","no",3,"ger","no",4,"int","b1"
736781,"base",4,28,1,"uni","no",3,"ger","no",2,"int","b2"
736787,"sil",5,22,2,"uni","no",3,"ger","no",4,"adv","c2"
736788,"base",5,25,2,"uni","no",2,"ger","no",2,"adv","c1"
736790,"sil_cg",7,24,2,"hs","no",4,"ger","no",4,"adv","none"
736791,"base_cg",5,45,1,"hs","yes",3,"ger","no",2,"int","none"
736792,"sil",4,25,2,"hs","no",4,"ger","no",3,"adv","c1"
736793,"base",6,21,1,"hs","no",3,"ger","no",1,"adv","c2"
736794,"nopints_cg",5,22,2,"hs","no",3,"ger","no",3,"adv","c1"
736795,"base_cg",8,50,3,"uni","no",3,"ger","no",3,"adv","c1"
736796,"sil_cg",5,31,1,"hs","no",4,"ger","no",2,"adv","c2"
736797,"sil",7,23,2,"hs","no",3,"ger","no",4,"int","b2"
736798,"base",1,24,2,"hs","no",3,"ger","no",3,"beg","none"
736799,"nopints_cg",6,22,1,"hs","no",2,"ger","no",4,"adv","b2"
736800,"nopints",5,19,3,"hs","no",3,"ger","no",4,"int","b2"
736801,"sil_cg",5,53,1,"hs","no",1,"ger","no",1,"int","none"
736802,"base",8,33,1,"hs","no",1,"ger","no",2,"int","none"
736803,"base_cg",7,28,1,"hs","no",3,"ger","no",1,"int","c1"
736804,"sil",4,33,3,"uni","no",2,"ger","no",4,"adv","c1"
736805,"nopints",7,58,1,"hs","no",2,"ger","no",3,"adv","c1"
736806,"nopints_cg",7,30,2,"uni","no",1,"ger","no",1,"adv","none"
736807,"base_cg",4,43,1,"hs","no",3,"ger","no",1,"int","none"
736808,"nopints_cg",7,32,1,"hs","no",3,"ger","no",4,"int","c1"
736809,"sil",5,39,3,"hs","no",4,"ger","no",2,"adv","c2"
736810,"sil_cg",7,26,2,"hs","no",3,"ger","no",1,"adv","b2"
736812,"base",6,35,1,"uni","no",1,"ger","no",1,"adv","c2"
736813,"nopints",8,23,2,"uni","no",4,"ger","no",3,"int","b2"
736814,"sil_cg",5,21,3,"hs","no",4,"ger","no",3,"adv","c1"
736815,"nopints_cg",4,33,2,"uni","no",2,"ger","no",4,"adv","c1"
736816,"base",7,22,2,"uni","no",2,"ger","no",1,"int","b2"
736817,"sil",3,27,1,"uni","no",2,"ger","no",2,"adv","c2"
736819,"base_cg",8,44,1,"hs","no",4,"ger","no",3,"int","b2"
736820,"sil",3,26,1,"hs","no",2,"ger","no",3,"adv","a1"
736821,"nopints_cg",8,70,2,"uni","no",5,"ger","no",4,"adv","none"
736822,"base_cg",6,38,2,"uni","no",4,"ger","no",2,"int","b2"
736823,"base",7,36,1,"uni","no",3,"ger","no",2,"adv","c1"
736824,"sil_cg",5,30,3,"uni","no",3,"ger","no",2,"adv","none"
736826,"nopints",2,23,2,"hs","no",2,"ger","no",2,"adv","none"
736789,"nopints",4,27,2,"uni","no",3,"ger","no",3,"adv","c2"
736828,"base_cg",7,19,1,"hs","no",2,"ger","no",2,"adv","c1"
736829,"nopints_cg",4,42,1,"hs","no",2,"ger","no",3,"adv","c1"
736830,"nopints",6,67,2,"uni","no",3,"ger","no",3,"adv","c1"
736835,"sil_cg",7,31,2,"uni","no",2,"ger","no",2,"int","none"
736842,"sil_cg",5,24,2,"uni","no",3,"ger","no",2,"int","none"
736832,"sil_cg",6,33,2,"uni","no",3,"ger","no",3,"adv","c1"
736833,"base",6,34,1,"uni","no",1,"ger","no",1,"adv","c1"
736834,"sil",6,56,2,"other","no",3,"ger","no",3,"adv","none"
736836,"sil",3,49,2,"uni","no",3,"ger","no",2,"adv","none"
736837,"nopints_cg",3,22,1,"hs","no",2,"ger","no",4,"adv","c1"
736839,"base",7,40,2,"uni","no",2,"ger","no",1,"adv","none"
736840,"base_cg",4,22,2,"uni","no",1,"ger","no",5,"adv","c2"
736841,"nopints_cg",5,18,1,"hs","no",3,"ger","no",5,"int","b2"
736811,"nopints",8,23,3,"uni","no",4,"ger","no",4,"adv","c1"
736843,"sil",7,27,2,"hs","no",4,"ger","no",4,"adv","none"
736845,"base_cg",2,29,1,"uni","no",1,"ger","no",1,"adv","c2"
736846,"nopints",7,47,2,"uni","no",5,"ger","no",5,"adv","c1"
736847,"nopints",4,19,2,"hs","yes",3,"ger","no",3,"int","b2"
736848,"nopints_cg",7,27,2,"uni","no",1,"ger","no",3,"adv","c1"
736849,"sil_cg",6,28,3,"uni","no",4,"ger","no",2,"adv","a1"
736850,"base_cg",5,32,1,"uni","no",4,"ger","no",2,"adv","none"
736851,"base",4,40,2,"uni","no",3,"ger","no",5,"adv","none"
736852,"sil",4,50,3,"other","no",4,"ger","no",4,"adv","none"
736853,"sil",6,50,2,"uni","no",3,"ger","no",2,"int","b2"
736857,"nopints",8,46,5,"uni","no",5,"ger","no",5,"adv","c2"
736838,"nopints",5,24,1,"hs","no",1,"ger","no",4,"int","c1"
736881,"sil_cg",5,28,2,"uni","no",2,"ger","no",2,"adv","c2"
736340,"sil_cg",7,33,2,"hs","no",3,"eng","no",3,"adv","none"
736341,"base",5,24,1,"other","no",1,"eng","no",2,"int","c1"
736343,"nopints_cg",7,67,1,"uni","no",4,"eng","no",5,"adv","none"
736344,"sil",3,36,4,"uni","no",2,"eng","no",4,"adv","none"
736348,"nopints",6,56,2,"hs","no",2,"eng","no",1,"adv","none"
736349,"sil_cg",7,25,4,"uni","no",2,"eng","no",2,"adv","none"
736350,"sil",5,37,3,"uni","no",3,"eng","no",3,"adv","none"
736351,"nopints",6,56,1,"hs","no",4,"eng","no",3,"adv","none"
736353,"base",4,28,2,"hs","no",1,"eng","no",1,"adv","none"
736355,"nopints_cg",6,66,2,"hs","no",4,"eng","no",4,"adv","none"
736356,"base_cg",3,48,2,"uni","no",3,"eng","no",1,"adv","none"
736357,"base",8,20,3,"hs","no",4,"eng","no",2,"int","none"
736421,"nopints",4,33,2,"uni","no",4,"eng","no",3,"adv","none"
736422,"sil_cg",5,53,4,"hs","no",2,"eng","no",4,"adv","none"
736423,"base_cg",4,26,1,"hs","no",1,"eng","no",1,"adv","none"
